,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Hobart,AU,-42.88,147.33,41,75,36,6.93,1598200081
1,Punta Arenas,CL,-53.15,-70.92,37.4,59,20,26.4,1598200081
2,Victoria,HK,22.29,114.16,84,74,100,7.58,1598199975
3,Ishim,RU,56.11,69.49,54.61,90,100,6.62,1598200082
4,Zhigansk,RU,66.77,123.37,41,84,8,14.07,1598200082
5,Sorong,ID,-0.88,131.25,76.87,87,100,5.23,1598200082
6,Ola,RU,59.58,151.28,43.05,64,50,10.96,1598199872
7,Albany,US,42.6,-73.97,84,65,20,9.17,1598199945
8,Ponta Do Sol,PT,32.67,-17.1,84.2,30,20,18.34,1598200082
9,Yellowknife,CA,62.46,-114.35,54,71,40,8.05,1598199920
10,Aba,NG,5.11,7.37,79.11,80,100,6.98,1598200082
11,Gat,IL,31.61,34.76,86,45,0,10.94,1598200082
12,Norman Wells,CA,65.28,-126.83,57.2,76,20,10.29,1598200083
13,Katsuura,JP,35.13,140.3,78.01,92,61,2.53,1598200083
14,Leshukonskoye,RU,64.9,45.76,64.44,75,91,7.96,1598200083
15,Lagoa,PT,39.05,-27.98,73.72,88,44,13.02,1598200083
16,Ushuaia,AR,-54.8,-68.3,35.6,74,40,11.41,1598199943
17,Vestmannaeyjar,IS,63.44,-20.27,55.4,66,95,9.17,1598200083
18,Mataura,NZ,-46.19,168.86,45,91,53,5.01,1598200084
19,Rikitea,PF,-23.12,-134.97,69.35,83,95,20.47,1598200084
20,Hilo,US,19.73,-155.09,75.2,83,75,5.01,1598200084
21,Salina Cruz,MX,16.17,-95.2,82.09,78,89,5.99,1598200062
22,Tupik,RU,54.43,119.93,53.2,74,100,2.98,1598200084
23,Luderitz,NA,-26.65,15.16,63.39,60,0,14.34,1598200084
24,Broome,US,42.25,-75.83,84.99,54,1,9.17,1598200084
25,Clyde River,CA,70.47,-68.59,43.41,88,100,8.32,1598200084
26,Tasiilaq,GL,65.61,-37.64,48.2,57,0,5.82,1598200085
27,Soe,ID,-9.86,124.28,61.65,91,9,5.61,1598200085
28,Port Elizabeth,ZA,-33.92,25.57,60.8,77,20,20.8,1598200085
29,Tiznit,MA,29.58,-9.5,98.15,19,20,9.86,1598199838
30,Hermanus,ZA,-34.42,19.23,57.99,91,100,1.01,1598200085
31,Pacific Grove,US,36.62,-121.92,64.4,72,40,3.36,1598200080
32,Havre-Saint-Pierre,CA,50.23,-63.6,66.2,55,40,11.41,1598200086
33,Bluff,NZ,-46.6,168.33,45,91,29,5.01,1598200086
34,Bati,ET,11.18,40.02,75.07,65,46,4.92,1598200086
35,Lorengau,PG,-2.02,147.27,78.69,85,100,9.89,1598200086
36,Saldanha,ZA,-33.01,17.94,62.6,67,100,9.17,1598200086
37,Harper,LR,4.38,-7.72,78.46,75,66,12.95,1598200086
38,Puerto Leguizamo,CO,-0.19,-74.78,82.72,56,17,4.45,1598200086
39,Flinders,AU,-34.58,150.86,52,58,0,11.01,1598200086
40,Port Alfred,ZA,-33.59,26.89,60.46,79,1,10.6,1598200087
41,Hirado,JP,33.36,129.55,82,76,0,6.22,1598200087
42,East London,ZA,-33.02,27.91,63.28,74,10,5.37,1598200087
43,Ulladulla,AU,-35.35,150.47,48.2,57,0,16.11,1598199854
44,Bud,US,39.45,-86.18,82,69,1,4.94,1598200087
45,Tuktoyaktuk,CA,69.45,-133.04,55.4,82,20,8.05,1598200087
46,Constitucion,CL,-35.33,-72.42,52.97,78,100,21.3,1598200087
47,Atuona,PF,-9.8,-139.03,77.97,78,3,16.4,1598200088
48,Bhitarwar,IN,25.8,78.12,80.6,88,75,8.05,1598200088
49,Pisco,PE,-13.7,-76.22,62.6,77,90,8.05,1598200088
50,Rumonge,BI,-3.97,29.44,75.2,53,74,1.95,1598200088
51,Nome,US,64.5,-165.41,51.8,87,90,5.82,1598200088
52,Busselton,AU,-33.65,115.33,46,76,1,5.14,1598200088
53,Blythe,US,33.61,-114.6,93,50,0,3.44,1598200088
54,Corinth,GR,37.94,22.96,91,34,0,1.01,1598200088
55,Victor Harbor,AU,-35.57,138.62,41,91,72,3.42,1598200089
56,Nanortalik,GL,60.14,-45.24,47.23,78,4,3.22,1598200089
57,Codrington,AU,-38.27,141.97,42.22,82,56,8.05,1598200089
58,Kapaa,US,22.08,-159.32,78.8,83,90,9.17,1598200089
59,Barrow,US,71.29,-156.79,37.4,93,90,11.41,1598200089
60,Severo-Kurilsk,RU,50.68,156.12,51.67,71,99,5.12,1598200090
61,Bredasdorp,ZA,-34.53,20.04,59,87,100,11.41,1598200090
62,Mount Isa,AU,-20.73,139.5,50,31,0,10.38,1598200090
63,Lavrentiya,RU,65.58,-171,46.62,95,95,5.39,1598200090
64,Isangel,VU,-19.55,169.27,71.6,94,5,3.36,1598200090
65,Souillac,MU,-20.52,57.52,71.6,73,40,16.11,1598200090
66,New Norfolk,AU,-42.78,147.06,39.99,85,8,2.95,1598200090
67,Umm Kaddadah,SD,13.6,26.69,96.78,27,84,6.55,1598200091
68,Calabozo,VE,8.92,-67.43,83.75,71,32,4.34,1598200091
69,Nelson Bay,AU,-32.72,152.15,51.01,57,1,19.46,1598200091
70,Cayenne,GF,4.93,-52.33,84.2,79,0,9.17,1598200066
71,Sagua La Grande,CU,22.81,-80.08,89.6,62,75,14.99,1598200091
72,Kautokeino,NO,69.01,23.04,61.02,73,100,1.59,1598200091
